ID,PRE,MID,SEMI,FINAL,AVERAGE,REMARKS
1,0,0,0,0,0,NONE
2,0,0,0,0,0,NONE
3,0,0,0,0,0,NONE
4,0,0,0,0,0,NONE
5,0,0,0,0,0,NONE
6,0,0,0,0,0,NONE
7,0,0,0,0,0,NONE
8,0,0,0,0,0,NONE
9,0,0,0,0,0,NONE
10,0,0,0,0,0,NONE
11,0,0,0,0,0,NONE
12,0,0,0,0,0,NONE
13,0,0,0,0,0,NONE
14,0,0,0,0,0,NONE
15,0,0,0,0,0,NONE
16,0,0,0,0,0,NONE
17,0,0,0,0,0,NONE
18,0,0,0,0,0,NONE
19,0,0,0,0,0,NONE
20,0,0,0,0,0,NONE
21,0,0,0,0,0,NONE
22,0,0,0,0,0,NONE
23,0,0,0,0,0,NONE
24,0,0,0,0,0,NONE
25,0,0,0,0,0,NONE
26,0,0,0,0,0,NONE
27,0,0,0,0,0,NONE
28,0,0,0,0,0,NONE
29,0,0,0,0,0,NONE
30,0,0,0,0,0,NONE
31,0,0,0,0,0,NONE
32,0,0,0,0,0,NONE
33,0,0,0,0,0,NONE
34,0,0,0,0,0,NONE
35,0,0,0,0,0,NONE
36,0,0,0,0,0,NONE
37,0,0,0,0,0,NONE
38,0,0,0,0,0,NONE
39,0,0,0,0,0,NONE
40,0,0,0,0,0,NONE
41,0,0,0,0,0,NONE
42,0,0,0,0,0,NONE
43,0,0,0,0,0,NONE
44,0,0,0,0,0,NONE
45,0,0,0,0,0,NONE
46,0,0,0,0,0,NONE
47,0,0,0,0,0,NONE
48,0,0,0,0,0,NONE
49,0,0,0,0,0,NONE
50,0,0,0,0,0,NONE
51,0,0,0,0,0,NONE
52,0,0,0,0,0,NONE
53,0,0,0,0,0,NONE
54,0,0,0,0,0,NONE
55,0,0,0,0,0,NONE
56,0,0,0,0,0,NONE
57,0,0,0,0,0,NONE
58,0,0,0,0,0,NONE
59,0,0,0,0,0,NONE
60,0,0,0,0,0,NONE
61,0,0,0,0,0,NONE
62,0,0,0,0,0,NONE
63,0,0,0,0,0,NONE
64,0,0,0,0,0,NONE
65,0,0,0,0,0,NONE
66,0,0,0,0,0,NONE
67,0,0,0,0,0,NONE
68,0,0,0,0,0,NONE
69,0,0,0,0,0,NONE
70,0,0,0,0,0,NONE
71,0,0,0,0,0,NONE
72,0,0,0,0,0,NONE
73,0,0,0,0,0,NONE
74,0,0,0,0,0,NONE
75,0,0,0,0,0,NONE
76,0,0,0,0,0,NONE
77,0,0,0,0,0,NONE
78,0,0,0,0,0,NONE
79,0,0,0,0,0,NONE
80,0,0,0,0,0,NONE
81,0,0,0,0,0,NONE
82,0,0,0,0,0,NONE
83,0,0,0,0,0,NONE
84,0,0,0,0,0,NONE
85,0,0,0,0,0,NONE
86,0,0,0,0,0,NONE
87,0,0,0,0,0,NONE
88,0,0,0,0,0,NONE
89,0,0,0,0,0,NONE
90,0,0,0,0,0,NONE
91,0,0,0,0,0,NONE
92,0,0,0,0,0,NONE
93,0,0,0,0,0,NONE
94,0,0,0,0,0,NONE
95,0,0,0,0,0,NONE
96,0,0,0,0,0,NONE
97,0,0,0,0,0,NONE
98,0,0,0,0,0,NONE
99,0,0,0,0,0,NONE
100,0,0,0,0,0,NONE
101,0,0,0,0,0,NONE
102,0,0,0,0,0,NONE
103,0,0,0,0,0,NONE
104,0,0,0,0,0,NONE
105,0,0,0,0,0,NONE
106,0,0,0,0,0,NONE
107,0,0,0,0,0,NONE
108,0,0,0,0,0,NONE
109,0,0,0,0,0,NONE
110,0,0,0,0,0,NONE
111,0,0,0,0,0,NONE
112,0,0,0,0,0,NONE
113,0,0,0,0,0,NONE
114,0,0,0,0,0,NONE
115,0,0,0,0,0,NONE
116,0,0,0,0,0,NONE
117,0,0,0,0,0,NONE
118,0,0,0,0,0,NONE
119,0,0,0,0,0,NONE
120,0,0,0,0,0,NONE
